avg_temp_c,temp_variance,humidity_change,shock_g,light_events,route_deviation_km,theft_zone_risk,weather_risk,carrier_score,device_uptime,transit_time_hr,declared_value_usd,cargo_type,packaging_type,claim
9.82,0.93,8.71,2.88,1,2.49,2.32,1.92,0.531,0.962,71.4,34171.02,fresh_produce,refrigerated,0
15.07,4.4,13.32,0.13,1,6.06,5.32,2.84,0.616,0.945,53.9,36334.76,general_merchandise,standard,1
20.88,5.02,3.77,0.33,1,3.22,3.7,4.45,0.61,1.0,70.3,28290.34,electronics_high_value,standard,0
17.01,1.0,11.22,2.0,0,0.28,2.85,3.69,0.877,0.925,25.2,144932.37,fresh_produce,refrigerated,1
14.31,2.02,12.8,1.12,0,3.88,4.33,0.91,0.487,0.996,74.5,46637.58,general_merchandise,refrigerated,0
13.07,1.44,8.31,0.44,3,5.29,4.33,5.51,0.806,0.962,102.9,12566.39,fresh_produce,refrigerated,0
8.63,0.92,9.36,1.69,0,2.56,3.47,4.02,0.666,0.97,80.2,22570.92,pharma_cold_chain,insulated,0
14.81,4.32,8.15,1.73,0,4.96,0.83,5.15,0.95,0.983,100.1,42605.74,general_merchandise,standard,0
3.2,0.41,14.97,1.76,0,2.13,4.93,2.64,0.753,0.982,78.5,114940.67,pharma_cold_chain,refrigerated,0
19.31,3.87,5.03,1.9,0,4.69,1.78,6.03,0.652,0.967,39.4,23520.84,general_merchandise,palletized,0
19.51,4.41,9.69,0.37,4,0.46,2.19,7.94,0.853,1.0,67.1,44048.71,general_merchandise,standard,0
13.15,8.38,5.67,1.84,0,1.82,4.64,2.27,0.846,0.971,86.3,39982.69,electronics_high_value,standard,0
16.2,1.03,0.98,1.59,1,0.57,0.35,0.68,0.744,0.942,78.8,59606.01,fresh_produce,refrigerated,0
18.28,5.52,0.84,0.14,2,7.69,1.39,1.98,0.946,0.937,32.5,54168.37,electronics_high_value,standard,0
12.18,5.74,3.14,0.77,1,4.26,2.38,6.45,0.862,0.961,57.3,29875.02,general_merchandise,palletized,1
12.27,9.2,7.41,0.17,0,3.2,1.07,5.32,0.68,0.942,109.3,12725.34,electronics_high_value,palletized,0
18.13,2.48,11.41,1.36,1,3.96,0.95,1.6,0.631,0.974,98.3,16292.96,electronics_high_value,standard,1
14.3,2.77,5.45,2.37,0,3.32,7.66,5.83,0.628,0.976,44.5,54311.75,fresh_produce,palletized,1
17.32,5.05,6.64,2.07,0,2.51,1.97,2.64,0.812,0.929,100.1,48480.5,electronics_high_value,palletized,1
16.78,2.14,9.54,0.8,0,1.19,6.24,7.21,0.965,0.949,68.0,28460.97,fresh_produce,refrigerated,0
6.91,3.66,4.05,3.12,0,0.29,0.88,5.8,0.769,0.956,55.8,108967.26,pharma_cold_chain,insulated,0
8.54,1.03,0.79,1.52,2,3.44,5.37,7.58,0.816,1.0,35.3,68808.98,pharma_cold_chain,insulated,0
10.55,4.29,8.4,0.79,0,5.86,4.62,1.13,0.805,0.98,103.0,31630.79,pharma_cold_chain,refrigerated,0
17.93,0.33,0.53,0.67,1,1.07,1.62,4.83,0.613,0.955,73.9,103488.28,fresh_produce,refrigerated,0
19.56,5.85,6.31,2.15,2,1.4,2.55,1.59,0.87,0.989,77.4,62067.57,electronics_high_value,palletized,0
10.59,5.27,12.19,1.08,0,0.09,1.53,4.42,0.699,0.97,53.8,38703.61,electronics_high_value,palletized,0
24.57,5.93,8.56,3.33,0,2.49,0.62,1.88,1.0,0.999,67.4,20134.73,electronics_high_value,standard,0
6.5,3.04,0.13,1.63,0,4.69,0.4,4.57,0.818,0.954,42.8,35932.55,pharma_cold_chain,insulated,0
11.57,3.61,1.32,1.64,0,1.15,5.13,6.51,0.871,0.947,101.4,25560.81,general_merchandise,insulated,0
15.6,2.06,9.78,0.46,1,5.03,4.68,6.4,0.9,0.956,41.1,45101.93,fresh_produce,refrigerated,1
3.26,0.83,20.83,0.8,1,1.89,2.69,4.59,0.622,0.955,94.4,37828.6,pharma_cold_chain,insulated,0
17.67,5.48,13.31,1.92,0,2.73,3.17,5.24,0.555,0.905,66.1,31055.47,electronics_high_value,standard,0
18.55,5.43,3.55,2.08,1,3.87,2.79,0.11,0.472,0.994,65.1,117455.78,electronics_high_value,standard,0
16.61,4.86,5.2,1.47,0,3.47,1.23,5.88,0.786,0.935,81.3,12376.2,electronics_high_value,palletized,0
14.05,0.24,13.57,0.73,0,4.12,2.88,1.57,0.943,0.959,105.8,50238.29,pharma_cold_chain,refrigerated,0
6.31,0.88,5.51,2.39,0,0.64,2.69,4.17,0.936,0.987,41.1,90640.25,pharma_cold_chain,insulated,0
11.53,3.7,8.05,0.28,1,3.06,4.29,7.0,0.788,0.972,89.6,46886.86,electronics_high_value,palletized,1
6.54,1.69,17.84,3.29,1,4.52,4.64,2.47,0.724,1.0,134.7,78725.89,pharma_cold_chain,insulated,0
15.19,4.04,0.28,1.92,0,5.92,5.86,5.97,0.602,0.968,58.0,40891.76,electronics_high_value,standard,1
6.49,3.24,2.03,1.45,1,0.54,4.51,2.6,0.817,0.969,89.7,87575.69,pharma_cold_chain,insulated,0
5.35,0.1,9.62,3.01,0,0.81,4.18,0.64,0.689,0.995,46.6,25368.98,pharma_cold_chain,refrigerated,0
17.65,3.69,2.62,0.69,0,5.91,2.55,1.65,0.542,0.983,70.0,12703.04,electronics_high_value,standard,1
16.71,2.97,1.05,0.93,1,0.88,2.38,1.08,0.667,0.957,114.8,71722.71,electronics_high_value,standard,0
20.67,3.78,12.77,0.75,0,3.29,2.16,2.92,0.888,0.922,43.5,127912.5,general_merchandise,standard,1
14.86,2.9,15.76,1.72,0,1.93,3.45,5.59,0.775,0.958,72.8,22579.84,chemicals,refrigerated,0
13.97,3.5,6.09,0.7,0,0.84,4.65,4.85,0.722,0.983,79.1,45948.75,electronics_high_value,standard,1
12.48,0.71,10.95,0.79,2,3.83,2.5,1.48,0.775,0.977,80.4,23944.67,fresh_produce,refrigerated,0
9.14,3.85,9.17,0.48,1,0.32,3.15,5.39,0.757,0.969,96.1,38145.71,general_merchandise,palletized,0
11.12,3.17,7.67,1.59,1,2.09,4.76,1.36,0.734,0.972,57.4,77783.24,pharma_cold_chain,insulated,1
8.44,0.14,11.0,1.78,1,3.18,3.46,1.01,0.897,0.954,10.7,56352.23,pharma_cold_chain,refrigerated,0
15.18,1.62,9.72,1.51,3,7.3,3.3,4.83,0.612,0.978,11.4,30064.6,fresh_produce,refrigerated,1
17.83,1.22,5.12,1.73,1,1.74,6.99,4.2,0.731,0.963,106.9,68037.24,general_merchandise,refrigerated,0
0.71,1.94,15.09,1.97,0,4.16,1.73,6.61,0.972,0.973,74.7,43132.08,pharma_cold_chain,insulated,0
13.71,3.5,1.97,2.28,0,0.98,0.61,1.98,0.736,0.972,78.4,20626.3,general_merchandise,palletized,0
16.81,4.52,20.14,2.06,0,0.48,1.07,4.83,0.69,0.96,61.7,50775.93,fresh_produce,refrigerated,1
17.45,1.62,3.83,1.23,0,1.79,1.55,5.6,0.549,0.956,79.2,160603.6,general_merchandise,insulated,0
15.01,7.03,6.57,1.91,3,0.34,1.74,3.71,0.942,0.933,81.5,9412.91,electronics_high_value,palletized,1
11.65,2.57,1.94,1.86,1,6.08,4.58,2.14,0.65,0.936,60.7,26251.92,pharma_cold_chain,insulated,0
4.49,3.51,12.95,2.33,0,1.46,4.53,2.1,0.847,0.946,86.2,47719.77,pharma_cold_chain,insulated,0
16.34,6.41,9.16,2.47,1,0.71,1.83,7.58,0.546,0.948,14.8,54325.89,electronics_high_value,standard,0
15.11,2.16,2.98,0.32,3,3.15,2.79,5.31,0.735,0.945,102.9,57870.65,electronics_high_value,standard,1
16.63,5.63,11.1,1.12,0,2.02,2.68,3.71,1.0,0.924,62.6,40835.56,electronics_high_value,standard,1
14.8,3.3,15.24,0.86,3,5.13,2.18,3.48,0.988,0.963,82.2,81515.73,general_merchandise,insulated,1
13.04,2.73,11.62,2.55,1,0.36,5.94,2.71,0.603,0.948,61.5,36585.67,general_merchandise,insulated,1
10.59,2.36,8.63,2.15,1,5.04,2.48,4.0,0.867,0.938,106.1,35995.56,pharma_cold_chain,insulated,1
7.35,3.39,4.48,0.02,0,3.07,4.07,0.99,0.937,0.972,66.7,77166.84,pharma_cold_chain,insulated,0
21.39,5.9,5.83,0.95,0,3.3,2.01,5.47,0.717,0.95,36.1,15847.18,electronics_high_value,palletized,1
11.98,6.86,4.89,2.08,3,0.96,1.94,3.24,0.822,0.96,84.2,99445.53,fresh_produce,palletized,1
15.72,3.24,18.87,2.56,0,5.11,3.86,0.46,0.882,0.948,27.7,220893.1,general_merchandise,refrigerated,1
14.98,5.78,0.57,1.24,2,2.26,6.0,3.69,0.888,0.975,51.0,73874.32,electronics_high_value,standard,1
15.58,2.9,13.12,1.73,1,2.67,2.14,5.68,0.844,0.971,40.6,14071.38,fresh_produce,refrigerated,1
13.74,3.65,7.71,1.41,1,5.04,2.86,2.62,0.78,0.942,72.3,23507.43,general_merchandise,insulated,1
12.67,4.75,11.0,2.87,2,8.76,1.79,6.62,0.629,0.968,80.3,151394.92,fresh_produce,palletized,1
7.21,0.87,15.17,0.7,0,1.48,2.21,6.02,0.716,0.95,37.7,66084.66,pharma_cold_chain,refrigerated,1
7.37,2.05,4.3,0.19,0,5.34,1.65,5.96,0.96,0.975,42.8,56218.7,pharma_cold_chain,refrigerated,1
15.51,4.21,10.87,1.2,1,5.16,4.69,2.89,0.813,0.944,63.9,42573.49,fresh_produce,palletized,0
19.87,4.02,16.76,3.77,2,1.01,3.18,3.93,0.605,1.0,70.3,85876.09,chemicals,insulated,0
10.31,4.6,5.29,1.11,1,0.85,1.85,4.87,0.792,0.969,63.5,21801.23,pharma_cold_chain,refrigerated,1
12.2,5.86,8.06,1.23,0,2.93,2.39,2.67,0.889,0.943,66.5,23626.4,fresh_produce,palletized,0
18.43,8.29,6.79,0.79,1,5.23,3.26,7.59,0.784,0.952,23.4,108519.57,fresh_produce,palletized,1
8.29,1.95,8.73,3.16,1,3.74,4.47,3.18,0.783,0.978,62.8,83738.97,chemicals,refrigerated,1
16.57,5.62,8.46,2.61,0,3.15,2.77,5.21,0.749,0.932,54.6,28899.24,general_merchandise,standard,0
13.91,5.54,2.57,0.85,0,1.53,2.74,6.39,0.778,0.939,82.1,6086.32,fresh_produce,palletized,1
22.42,0.51,10.58,1.25,0,0.7,4.52,6.17,0.899,0.953,38.3,36472.06,fresh_produce,refrigerated,1
11.08,2.36,8.87,2.91,0,3.98,5.82,3.63,0.676,0.946,88.6,73278.51,pharma_cold_chain,refrigerated,1
15.18,3.31,8.04,1.91,1,2.78,2.82,3.53,0.723,0.975,18.2,31346.78,electronics_high_value,standard,0
19.14,3.79,5.12,2.66,1,5.43,0.42,3.85,0.852,0.978,111.9,37639.76,electronics_high_value,palletized,0
13.74,1.79,8.35,1.87,0,4.49,1.19,8.33,0.741,0.958,33.4,64481.75,general_merchandise,refrigerated,1
5.95,5.21,7.98,1.66,0,3.53,1.87,2.19,0.859,0.972,135.6,101591.61,pharma_cold_chain,insulated,0
16.42,3.34,5.36,1.86,0,6.01,3.83,6.88,0.909,0.955,54.2,22799.52,general_merchandise,palletized,0
16.92,5.02,5.99,0.94,0,10.42,1.56,5.08,0.664,0.976,82.4,17550.97,general_merchandise,refrigerated,1
13.72,2.59,12.25,1.53,1,10.97,5.3,4.01,0.578,1.0,47.4,15639.97,chemicals,refrigerated,0
16.4,2.1,7.04,0.9,0,1.2,0.57,3.51,0.646,0.936,73.2,28485.1,electronics_high_value,palletized,1
19.09,3.62,12.95,1.44,1,1.27,5.63,2.07,0.47,0.973,83.5,193805.22,electronics_high_value,standard,0
14.86,2.08,5.31,0.87,1,4.55,4.32,6.59,0.599,0.934,28.8,25680.6,general_merchandise,refrigerated,0
13.8,2.13,12.34,0.52,0,7.59,2.74,4.89,0.62,0.998,77.5,62436.13,general_merchandise,insulated,0
17.61,0.86,17.19,0.63,1,6.71,2.89,4.26,0.709,0.996,92.0,192703.73,fresh_produce,refrigerated,1
16.65,6.33,2.31,2.97,1,2.92,4.64,5.37,0.783,0.954,68.8,20652.69,electronics_high_value,palletized,0
13.23,1.84,11.79,0.63,1,1.02,5.11,1.15,0.727,0.972,61.2,125349.57,general_merchandise,refrigerated,1
9.52,1.68,17.74,1.0,0,2.64,0.98,2.52,0.607,0.921,77.5,55808.47,pharma_cold_chain,insulated,0
16.27,0.71,11.81,0.56,2,3.9,1.25,3.38,0.814,0.988,55.0,19887.83,fresh_produce,refrigerated,1
15.14,0.62,11.07,2.26,0,5.31,3.2,1.92,0.807,0.998,69.3,24948.24,general_merchandise,insulated,0
18.14,0.01,9.3,2.33,1,6.09,1.86,1.47,0.716,0.98,51.8,31803.55,general_merchandise,refrigerated,1
18.34,3.22,3.69,0.08,0,3.13,2.65,1.41,0.493,0.957,109.3,99544.26,electronics_high_value,standard,0
6.46,1.51,9.31,1.8,0,0.41,1.74,7.19,0.586,0.909,82.1,66775.18,pharma_cold_chain,refrigerated,1
12.68,5.45,15.82,2.32,2,0.22,0.52,4.05,0.599,0.949,52.4,42753.11,general_merchandise,standard,0
2.65,3.34,12.16,2.33,1,0.39,4.41,1.59,0.761,0.923,68.2,51236.24,pharma_cold_chain,refrigerated,0
22.72,1.68,0.16,1.89,1,0.02,1.18,3.76,0.677,0.971,36.2,25580.48,fresh_produce,refrigerated,0
15.45,6.45,8.73,0.89,0,2.35,0.27,4.66,0.792,0.963,49.4,26850.63,electronics_high_value,palletized,0
15.96,4.05,5.99,0.35,1,4.96,3.48,7.38,0.762,0.997,72.7,89586.18,electronics_high_value,standard,1
7.4,1.96,9.55,0.16,2,2.25,0.89,4.92,0.438,0.988,41.6,28017.74,pharma_cold_chain,insulated,1
13.34,7.35,4.19,1.78,1,0.94,2.7,3.28,0.886,0.963,87.0,32855.11,electronics_high_value,standard,1
15.12,1.4,7.13,1.36,1,4.49,4.05,3.67,0.913,0.977,115.4,8586.6,general_merchandise,refrigerated,0
16.92,0.76,3.37,1.38,1,7.71,1.27,1.49,0.808,0.938,101.6,16269.56,fresh_produce,refrigerated,0
11.1,2.12,9.69,0.95,1,2.57,5.27,3.99,0.609,0.981,80.3,47853.76,general_merchandise,insulated,1
17.26,3.93,17.43,2.38,3,1.2,0.52,6.7,0.66,0.998,44.0,23392.17,electronics_high_value,standard,1
12.18,1.33,5.96,1.97,3,1.71,1.06,5.76,0.864,0.966,58.2,25358.73,pharma_cold_chain,insulated,0
4.83,1.41,7.67,1.0,0,2.07,3.44,5.79,0.782,0.965,59.2,45910.2,pharma_cold_chain,insulated,1
14.6,1.51,8.91,0.22,0,0.06,3.02,7.63,0.724,0.961,39.4,84255.15,fresh_produce,refrigerated,0
17.03,4.76,13.73,0.71,0,6.14,0.69,3.09,0.826,0.963,79.7,47046.26,electronics_high_value,palletized,1
17.65,2.23,10.12,1.26,0,8.2,0.47,0.82,0.544,0.957,124.6,16937.7,general_merchandise,refrigerated,0
14.86,0.7,0.52,2.0,0,2.45,2.09,3.26,0.846,1.0,79.3,40638.39,general_merchandise,insulated,0
20.97,1.95,7.39,1.42,1,0.25,1.43,1.01,0.751,0.954,108.8,18937.7,fresh_produce,refrigerated,0
11.36,4.91,16.59,2.36,0,7.49,2.84,2.41,0.908,1.0,75.9,22682.01,general_merchandise,palletized,0
17.43,6.11,11.5,0.76,2,4.55,1.18,2.77,0.895,0.977,94.3,19869.74,electronics_high_value,standard,0
20.95,3.94,4.35,1.48,0,1.9,2.08,3.88,0.817,0.961,60.3,46856.54,electronics_high_value,standard,0
16.9,5.27,5.11,3.0,1,0.85,0.93,3.95,0.803,0.956,81.9,82463.92,electronics_high_value,standard,0
14.15,7.08,3.88,0.12,1,8.91,3.85,1.92,0.756,0.975,114.5,21729.29,electronics_high_value,standard,1
17.64,5.9,9.86,0.55,1,1.64,6.26,4.28,1.0,0.95,29.6,11974.2,general_merchandise,standard,1
16.58,0.51,8.64,1.88,2,1.11,1.41,8.52,0.859,0.959,74.2,56688.92,general_merchandise,refrigerated,0
16.13,4.62,13.26,0.82,0,0.03,5.89,0.66,0.783,0.967,55.2,66185.33,electronics_high_value,palletized,1
11.35,3.92,9.22,2.43,0,1.9,4.53,3.25,0.921,1.0,45.0,28230.5,electronics_high_value,standard,0
